Peleador_A,Peleador_B,DATE,WINNER,METHOD,TIME,KD_A,KD_B,SIG_STR_A,SIG_STR_B,TOTAL_STR_A,TOTAL_STR_B,TD_A,TD_B,TD_PORC_A,TD_PORC_B,SUB_ATT_A,SUB_ATT_B,REV_A,REV_B,CTRL_A,CTRL_B,STR_HEAD_A,STR_HEAD_B,STR_BODY_A,STR_BODY_B,STR_LEG_A,STR_LEG_B,STR_DISTANCE_A,STR_DISTANCE_B,STR_CLINCH_A,STR_CLINCH_B,STR_GROUND_A,STR_GROUND_B
Dricus Du Plessis,Sean Strickland,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,46%,48%,149 of 316,128 of 263,1 of 2,0 of 0,50%,---,0,0,0,0,0:05,0:00,50 of 193,90 of 212,45 of 59,29 of 41,52 of 62,9 of 10,147 of 314,128 of 263,0 of 0,0 of 0,0 of 0,0 of 0
Zhang Weili,Tatiana Suarez,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,60%,33%,232 of 299,63 of 95,1 of 3,1 of 15,33%,6%,1,0,0,0,10:54,5:56,32 of 56,1 of 16,16 of 21,2 of 6,5 of 10,9 of 14,29 of 62,10 of 33,11 of 11,2 of 3,13 of 14,0 of 0
Justin Tafa,Tallison Teixeira,"February 15, 2025",1,KO/TKO,TIME: 0:35,0,1,0%,88%,0 of 1,9 of 10,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:11,0 of 1,5 of 6,0 of 0,3 of 3,0 of 0,0 of 0,0 of 1,1 of 2,0 of 0,3 of 3,0 of 0,4 of 4
Jimmy Crute,Rodolfo Bellato,"February 15, 2025",1,Decision - Majority,TIME: 5:00,1,0,50%,63%,139 of 247,95 of 148,0 of 3,1 of 2,0%,50%,0,0,0,0,3:52,0:29,93 of 190,36 of 76,8 of 10,24 of 29,5 of 9,29 of 36,77 of 170,85 of 136,11 of 13,4 of 5,18 of 26,0 of 0
Jake Matthews,Francisco Prado,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,36%,40%,95 of 215,64 of 152,0 of 0,1 of 6,---,16%,0,0,0,0,0:40,2:16,39 of 146,17 of 92,24 of 33,19 of 28,5 of 5,23 of 26,56 of 169,47 of 132,12 of 15,11 of 13,0 of 0,1 of 1
Jack Jenkins,Gabriel Santos,"February 15, 2025",1,Submission,TIME: 2:06,1,0,70%,63%,39 of 55,96 of 123,0 of 1,4 of 7,0%,57%,0,2,0,0,2:20,6:19,22 of 35,26 of 44,5 of 6,6 of 9,7 of 7,7 of 8,13 of 22,23 of 45,5 of 6,3 of 3,16 of 20,13 of 13
Tom Nolan,Viacheslav Borshchev,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,39%,55%,111 of 236,92 of 163,1 of 8,0 of 0,12%,---,3,1,0,0,2:01,3:11,43 of 130,20 of 67,11 of 23,26 of 31,15 of 22,20 of 20,63 of 163,61 of 106,5 of 11,1 of 4,1 of 1,4 of 8
Wang Cong,Bruna Brasil,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,56%,48%,104 of 182,31 of 64,2 of 2,0 of 1,100%,0%,0,0,0,0,0:03,0:00,38 of 99,11 of 30,21 of 32,12 of 19,44 of 50,8 of 15,102 of 177,30 of 63,0 of 1,1 of 1,1 of 3,0 of 0
Colby Thicknesse,Aleksandre Topuria,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,29%,51%,40 of 131,65 of 110,0 of 8,1 of 2,0%,50%,0,0,0,0,0:00,5:02,18 of 91,18 of 53,12 of 27,19 of 22,8 of 9,4 of 4,35 of 122,35 of 70,3 of 5,5 of 7,0 of 0,1 of 2
Rongzhu,Kody Steele,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,1,0,51%,28%,126 of 243,59 of 209,0 of 0,1 of 4,---,25%,0,0,1,0,0:18,0:06,108 of 220,47 of 194,4 of 8,10 of 11,13 of 13,2 of 4,125 of 241,58 of 205,0 of 0,1 of 4,0 of 0,0 of 0
Jonathan Micallef,Kevin Jousset,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,1,0,44%,39%,89 of 197,71 of 173,0 of 0,0 of 0,---,---,0,0,0,0,0:09,0:00,52 of 151,32 of 112,28 of 34,17 of 34,5 of 7,18 of 22,83 of 190,66 of 166,2 of 2,1 of 2,0 of 0,0 of 0
Quillan Salkilld,Anshul Jubli,"February 15, 2025",1,KO/TKO,TIME: 0:19,1,0,85%,0%,6 of 7,0 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,2 of 3,0 of 1,1 of 1,0 of 0,3 of 3,0 of 0,5 of 6,0 of 1,0 of 0,0 of 0,1 of 1,0 of 0
Israel Adesanya,Nassourdine Imavov,"February 08, 2025",1,KO/TKO,TIME: 0:30,0,1,52%,48%,32 of 56,18 of 34,0 of 1,0 of 3,0%,0%,0,0,0,0,0:00,0:44,9 of 28,9 of 21,6 of 8,0 of 3,11 of 14,6 of 7,26 of 50,10 of 25,0 of 0,0 of 0,0 of 0,5 of 6
Shara Magomedov,Michael Page,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,43%,57%,50 of 102,47 of 81,0 of 0,0 of 1,---,0%,0,0,0,0,0:40,0:50,8 of 42,23 of 53,17 of 20,11 of 12,13 of 25,9 of 10,34 of 82,38 of 69,4 of 5,5 of 6,0 of 0,0 of 0
Sergei Pavlovich,Jairzinho Rozenstruik,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,41%,30%,145 of 208,23 of 63,2 of 2,0 of 0,100%,---,0,0,0,0,6:17,0:00,21 of 55,7 of 43,2 of 3,3 of 3,2 of 2,7 of 9,25 of 60,17 of 55,0 of 0,0 of 0,0 of 0,0 of 0
Said Nurmagomedov,Vinicius Oliveira,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,48%,45%,69 of 111,68 of 125,1 of 9,3 of 5,11%,60%,0,1,0,0,0:58,7:12,18 of 54,24 of 63,13 of 17,11 of 18,7 of 8,8 of 13,37 of 76,31 of 74,1 of 3,2 of 5,0 of 0,10 of 15
Fares Ziam,Mike Davis,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,62%,57%,58 of 83,30 of 49,4 of 7,1 of 8,57%,12%,0,1,2,3,7:11,3:59,29 of 50,13 of 26,5 of 5,5 of 6,1 of 1,2 of 3,20 of 33,13 of 24,5 of 6,2 of 2,10 of 17,5 of 9
Muhammad Naimov,Kaan Ofli,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,34%,46%,79 of 176,57 of 97,2 of 2,0 of 6,100%,0%,0,0,0,0,5:36,3:35,23 of 79,5 of 30,8 of 12,16 of 21,1 of 1,10 of 15,22 of 73,14 of 44,6 of 6,17 of 22,4 of 13,0 of 0
Shamil Gaziev,Thomas Petersen,"February 08, 2025",1,KO/TKO,TIME: 3:12,1,0,43%,55%,14 of 32,19 of 35,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:08,9 of 27,4 of 18,5 of 5,7 of 8,0 of 0,8 of 8,13 of 30,18 of 31,1 of 2,1 of 3,0 of 0,0 of 0
Terrance McKinney,Damir Hadzovic,"February 08, 2025",1,KO/TKO,TIME: 2:01,0,0,78%,30%,69 of 90,4 of 13,0 of 0,1 of 2,---,50%,1,0,1,0,1:00,0:08,53 of 67,3 of 9,1 of 2,0 of 3,0 of 0,1 of 1,8 of 18,4 of 13,0 of 0,0 of 0,46 of 51,0 of 0
Jasmine Jasudavicius,Mayra Bueno Silva,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,53%,51%,164 of 229,41 of 76,3 of 5,0 of 0,60%,---,0,1,0,0,7:11,0:00,23 of 66,23 of 53,20 of 26,8 of 12,13 of 13,6 of 7,48 of 94,30 of 64,8 of 10,7 of 8,0 of 1,0 of 0
Bogdan Grad,Lucas Alexander,"February 08, 2025",1,KO/TKO,TIME: 4:22,0,0,69%,65%,59 of 86,47 of 71,3 of 8,0 of 1,37%,0%,0,0,0,1,4:18,2:13,42 of 60,19 of 37,1 of 2,7 of 7,3 of 4,8 of 8,9 of 18,29 of 45,3 of 4,3 of 4,34 of 44,2 of 3
Hamdy Abdelwahab,Jamal Pogues,"February 08, 2025",1,Decision - Split,TIME: 5:00,0,0,50%,56%,52 of 103,69 of 123,1 of 1,0 of 1,100%,0%,0,0,0,0,0:57,0:00,25 of 65,43 of 94,3 of 4,0 of 0,16 of 18,26 of 29,40 of 81,68 of 122,0 of 0,1 of 1,4 of 6,0 of 0
Islam Makhachev,Renato Moicano,"February 01, 2025",1,Submission,TIME: 4:05,0,0,31%,33%,18 of 31,18 of 37,1 of 2,0 of 0,50%,---,1,0,0,0,1:27,0:00,5 of 17,2 of 18,1 of 2,3 of 5,0 of 0,4 of 4,5 of 18,9 of 27,0 of 0,0 of 0,1 of 1,0 of 0
Merab Dvalishvili,Umar Nurmagomedov,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,42%,43%,142 of 293,113 of 246,7 of 30,2 of 15,23%,13%,0,0,0,0,2:22,1:37,71 of 207,76 of 199,30 of 37,22 of 30,10 of 15,6 of 8,88 of 219,92 of 219,22 of 37,12 of 18,1 of 3,0 of 0
Jiri Prochazka,Jamahal Hill,"February 01, 2025",1,KO/TKO,TIME: 3:01,2,0,58%,45%,101 of 170,84 of 180,0 of 0,0 of 0,---,---,0,0,0,0,0:22,0:00,73 of 132,55 of 145,19 of 23,24 of 29,5 of 10,2 of 3,71 of 129,68 of 158,10 of 13,13 of 19,16 of 23,0 of 0
Jailton Almeida,Serghei Spivac,"February 01, 2025",1,KO/TKO,TIME: 4:53,0,0,74%,53%,36 of 49,34 of 47,1 of 1,1 of 1,100%,100%,0,0,1,1,1:48,2:08,20 of 27,14 of 27,1 of 2,1 of 1,2 of 2,0 of 0,7 of 12,2 of 7,4 of 6,0 of 0,12 of 13,13 of 21
Kevin Holland,Reinier de Ridder,"February 01, 2025",1,Submission,TIME: 3:31,0,0,84%,57%,27 of 32,26 of 35,0 of 0,2 of 2,---,100%,0,1,0,0,0:00,3:25,10 of 12,11 of 20,1 of 1,1 of 1,0 of 0,0 of 0,1 of 2,0 of 0,1 of 1,0 of 0,9 of 10,12 of 21
Payton Talbott,Raoni Barcelos,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,58%,72%,59 of 95,91 of 115,1 of 1,8 of 15,100%,53%,0,2,0,0,1:25,9:43,39 of 74,59 of 81,7 of 7,2 of 3,3 of 3,1 of 1,37 of 67,18 of 30,7 of 10,5 of 5,5 of 7,39 of 50
Zachary Reese,Azamat Bekoev,"February 01, 2025",1,KO/TKO,TIME: 3:04,0,0,54%,80%,22 of 35,52 of 59,0 of 0,1 of 2,---,50%,0,0,0,0,0:00,2:14,13 of 22,16 of 19,0 of 2,3 of 4,0 of 0,2 of 3,1 of 7,3 of 6,1 of 1,0 of 0,11 of 16,18 of 20
Bogdan Guskov,Billy Elekana,"February 01, 2025",1,Submission,TIME: 3:33,0,0,66%,71%,59 of 85,28 of 37,0 of 0,1 of 1,---,100%,2,0,1,0,1:24,3:40,39 of 63,18 of 25,5 of 5,2 of 3,3 of 3,0 of 0,19 of 34,13 of 21,11 of 11,0 of 0,17 of 26,7 of 7
Grant Dawson,Diego Ferreira,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,57%,67%,195 of 269,84 of 113,6 of 11,0 of 0,54%,---,0,0,0,0,10:50,0:20,51 of 91,31 of 48,3 of 5,6 of 9,2 of 2,4 of 4,19 of 47,31 of 51,7 of 8,6 of 6,30 of 43,4 of 4
Karol Rosa,Ailin Perez,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,47%,47%,120 of 182,81 of 155,0 of 0,2 of 8,---,25%,0,0,0,0,0:00,4:15,20 of 67,28 of 87,6 of 11,11 of 17,27 of 34,23 of 27,49 of 105,56 of 121,2 of 5,2 of 3,2 of 2,4 of 7
Rinya Nakamura,Muin Gafurov,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,1,42%,41%,39 of 82,73 of 130,0 of 1,0 of 1,0%,0%,1,0,0,0,1:41,2:37,10 of 44,20 of 65,8 of 9,9 of 12,13 of 20,8 of 13,28 of 70,32 of 76,3 of 3,4 of 7,0 of 0,1 of 7
Ricky Turcios,Benardo Sopaj,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,1,54%,58%,113 of 187,97 of 155,1 of 9,2 of 3,11%,66%,0,0,0,0,1:56,2:30,30 of 86,64 of 117,24 of 32,8 of 11,24 of 26,9 of 11,60 of 120,48 of 99,18 of 22,16 of 20,0 of 2,17 of 20
Tagir Ulanbekov,Clayton Carpenter,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,56%,60%,100 of 138,86 of 117,3 of 6,1 of 4,50%,25%,0,0,0,0,6:49,3:01,35 of 68,20 of 40,5 of 5,9 of 14,2 of 2,13 of 15,27 of 55,25 of 50,2 of 2,5 of 6,13 of 18,12 of 13
Mackenzie Dern,Amanda Ribas,"January 18, 2025",1,Submission,TIME: 4:56,0,0,58%,30%,82 of 107,99 of 151,1 of 3,2 of 2,33%,100%,1,0,2,0,4:34,5:47,13 of 27,10 of 44,3 of 8,1 of 4,11 of 11,6 of 8,18 of 34,14 of 51,1 of 3,0 of 0,8 of 9,3 of 5
Santiago Ponzinibbio,Carlston Harris,"January 18, 2025",1,KO/TKO,TIME: 3:13,1,1,43%,37%,76 of 175,78 of 211,0 of 0,0 of 5,---,0%,0,0,0,0,0:39,0:13,57 of 151,40 of 142,8 of 11,19 of 39,11 of 13,14 of 15,72 of 165,73 of 195,0 of 0,0 of 0,4 of 10,0 of 1
Cesar Almeida,Abdul Razak Alhassan,"January 18, 2025",1,KO/TKO,TIME: 4:16,1,1,68%,51%,21 of 30,19 of 35,0 of 0,0 of 2,---,0%,0,0,0,0,0:02,1:31,3 of 9,13 of 29,9 of 11,4 of 4,8 of 9,0 of 0,16 of 25,9 of 21,4 of 4,4 of 5,0 of 0,4 of 7
Chris Curtis,Roman Kopylov,"January 18, 2025",1,KO/TKO,TIME: 4:59,0,1,54%,42%,146 of 265,133 of 310,0 of 0,1 of 6,---,16%,0,0,0,0,0:00,0:49,107 of 204,91 of 266,30 of 52,14 of 16,5 of 5,25 of 25,142 of 261,124 of 300,0 of 0,4 of 5,0 of 0,2 of 2
Christian Rodriguez,Austin Bashi,"January 18, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,53%,46%,55 of 93,32 of 60,2 of 4,3 of 18,50%,16%,2,0,2,0,3:20,5:41,32 of 68,12 of 34,12 of 14,9 of 11,0 of 0,2 of 5,32 of 66,17 of 43,8 of 12,5 of 6,4 of 4,1 of 1
Punahele Soriano,Uros Medic,"January 18, 2025",1,KO/TKO,TIME: 0:31,1,0,76%,66%,13 of 17,2 of 3,0 of 0,0 of 0,---,---,0,0,0,0,0:04,0:00,12 of 16,1 of 2,0 of 0,1 of 1,1 of 1,0 of 0,5 of 8,2 of 3,0 of 0,0 of 0,8 of 9,0 of 0
Jose Johnson,Felipe Bunes,"January 18, 2025",1,Submission,TIME: 2:04,0,0,57%,28%,8 of 15,5 of 10,0 of 0,0 of 2,---,0%,0,2,0,0,0:48,0:11,3 of 8,2 of 7,3 of 4,0 of 0,2 of 2,0 of 0,7 of 11,2 of 7,0 of 2,0 of 0,1 of 1,0 of 0
Marco Tulio,Ihor Potieria,"January 18, 2025",1,KO/TKO,TIME: 3:04,1,0,53%,40%,34 of 62,6 of 15,0 of 0,0 of 0,---,---,0,0,0,0,0:26,0:00,20 of 41,2 of 8,5 of 7,1 of 2,4 of 6,3 of 5,17 of 37,6 of 15,1 of 1,0 of 0,11 of 16,0 of 0
Thiago Moises,Trey Ogden,"January 18, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,58%,62%,75 of 124,117 of 168,0 of 0,1 of 1,---,100%,0,0,1,0,7:30,0:11,36 of 65,24 of 57,2 of 4,7 of 9,17 of 25,28 of 29,22 of 51,58 of 94,0 of 0,0 of 0,33 of 43,1 of 1
Preston Parsons,Jacobe Smith,"January 18, 2025",1,KO/TKO,TIME: 1:13,0,1,50%,52%,8 of 15,12 of 23,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:11,6 of 12,8 of 17,1 of 1,2 of 3,0 of 1,2 of 3,6 of 13,11 of 21,1 of 1,0 of 0,0 of 0,1 of 2
Ernesta Kareckaite,Nicolle Caliari,"January 18, 2025",1,Decision - Split,TIME: 5:00,0,0,42%,40%,126 of 266,86 of 194,0 of 0,3 of 14,---,21%,0,0,0,0,1:33,3:34,77 of 199,36 of 120,18 of 26,22 of 35,0 of 1,9 of 11,87 of 213,63 of 156,8 of 13,3 of 5,0 of 0,1 of 5
Magomed Gadzhiyasulov,Bruno Lopes,"January 18, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,46%,47%,68 of 106,73 of 126,0 of 3,5 of 14,0%,35%,0,0,0,0,0:14,9:19,9 of 40,21 of 48,10 of 13,10 of 13,12 of 14,2 of 9,24 of 54,8 of 39,7 of 13,22 of 26,0 of 0,3 of 5
Fatima Kline,Viktoriia Dudakova,"January 18, 2025",1,KO/TKO,TIME: 4:27,0,0,46%,33%,42 of 72,4 of 6,2 of 2,2 of 6,100%,33%,0,0,3,1,6:05,2:37,13 of 30,0 of 2,1 of 1,0 of 0,1 of 1,1 of 1,2 of 7,1 of 3,2 of 2,0 of 0,11 of 23,0 of 0
Nurullo Aliev,Joe Solecki,"January 18, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,39%,41%,81 of 150,52 of 98,2 of 2,1 of 1,100%,100%,0,1,0,0,8:13,0:36,29 of 81,24 of 60,5 of 6,1 of 4,1 of 1,3 of 4,26 of 65,26 of 65,1 of 2,0 of 0,8 of 21,2 of 3
Colby Covington,Joaquin Buckley,"January 11, 2025",1,TKO - Doctor's Stoppage,TIME: 4:42,0,0,29%,49%,71 of 161,81 of 160,1 of 8,0 of 1,12%,0%,0,1,0,0,3:40,1:18,26 of 108,59 of 131,8 of 11,13 of 17,3 of 5,3 of 3,33 of 120,65 of 135,0 of 0,6 of 8,4 of 4,4 of 8
Cub Swanson,Billy Quarantillo,"January 11, 2025",1,KO/TKO,TIME: 1:36,1,0,62%,40%,114 of 173,108 of 249,0 of 0,3 of 11,---,27%,0,0,0,0,0:10,2:07,74 of 127,65 of 188,13 of 18,20 of 32,12 of 13,12 of 17,95 of 154,91 of 222,4 of 4,6 of 15,0 of 0,0 of 0
Manel Kape,Bruno Silva,"January 11, 2025",1,KO/TKO,TIME: 1:57,1,0,66%,50%,111 of 168,60 of 115,0 of 0,0 of 5,---,0%,0,0,0,0,0:01,0:00,71 of 127,27 of 74,18 of 19,21 of 29,22 of 22,9 of 9,109 of 165,55 of 110,2 of 2,2 of 2,0 of 1,0 of 0
Vitor Petrino,Dustin Jacoby,"January 11, 2025",1,KO/TKO,TIME: 3:44,0,1,41%,46%,40 of 96,47 of 100,0 of 4,0 of 0,0%,---,0,0,0,0,0:40,0:20,27 of 79,23 of 69,6 of 7,7 of 9,7 of 10,15 of 18,40 of 96,39 of 87,0 of 0,5 of 8,0 of 0,1 of 1
Adrian Yanez,Daniel Marcos,"January 11, 2025",1,Decision - Split,TIME: 5:00,0,0,43%,58%,85 of 189,95 of 156,0 of 1,2 of 4,0%,50%,0,0,0,0,1:15,3:23,57 of 156,60 of 111,8 of 10,9 of 16,14 of 17,17 of 20,79 of 182,81 of 142,0 of 1,3 of 3,0 of 0,2 of 2
Navajo Stirling,Tuco Tokkos,"January 11, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,50%,35%,99 of 181,34 of 93,0 of 0,3 of 9,---,33%,0,0,0,0,0:54,3:36,33 of 94,18 of 70,37 of 50,5 of 5,8 of 11,9 of 15,70 of 142,28 of 80,8 of 13,4 of 10,0 of 0,0 of 0
Michael Johnson,Ottman Azaitar,"January 11, 2025",1,KO/TKO,TIME: 2:03,1,0,38%,28%,19 of 50,20 of 61,0 of 1,0 of 0,0%,---,0,0,0,0,0:12,0:00,13 of 37,8 of 39,3 of 8,7 of 12,3 of 5,1 of 5,16 of 46,15 of 55,1 of 1,1 of 1,2 of 3,0 of 0
Joel Alvarez,Drakkar Klose,"January 11, 2025",1,KO/TKO,TIME: 2:48,0,0,83%,53%,39 of 44,16 of 23,0 of 0,1 of 1,---,100%,0,0,0,0,0:04,1:08,15 of 19,1 of 6,4 of 4,2 of 3,1 of 1,4 of 4,12 of 16,7 of 12,8 of 8,0 of 1,0 of 0,0 of 0
Sean Woodson,Fernando Padilla,"January 11, 2025",1,KO/TKO,TIME: 4:58,1,0,53%,31%,38 of 71,24 of 72,0 of 0,0 of 0,---,---,0,0,0,0,1:03,0:09,35 of 64,14 of 59,0 of 3,4 of 6,3 of 4,4 of 4,36 of 69,17 of 61,0 of 0,5 of 8,2 of 2,0 of 0
Miles Johns,Felipe Lima,"January 11, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,22%,41%,35 of 143,60 of 140,0 of 1,2 of 5,0%,40%,0,1,1,0,1:35,2:55,21 of 122,43 of 112,5 of 7,7 of 10,5 of 8,5 of 12,31 of 135,52 of 126,0 of 2,3 of 5,0 of 0,0 of 3
Miranda Maverick,Jamey-Lyn Horth,"January 11, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,35%,27%,61 of 117,63 of 111,2 of 9,1 of 3,22%,33%,0,1,0,1,6:50,3:18,12 of 50,11 of 45,5 of 6,3 of 8,7 of 12,1 of 2,23 of 65,14 of 54,1 of 2,1 of 1,0 of 1,0 of 0
Davey Grant,Ramon Taveras,"January 11, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,50%,44%,147 of 290,69 of 156,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:00,50 of 158,63 of 149,42 of 67,5 of 6,55 of 65,1 of 1,147 of 290,67 of 152,0 of 0,2 of 3,0 of 0,0 of 1
Josefine Knutsson,Piera Rodriguez,"January 11, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,47%,56%,67 of 100,85 of 137,0 of 0,8 of 10,---,80%,0,0,0,0,1:17,10:24,16 of 43,26 of 51,8 of 9,8 of 10,2 of 3,2 of 3,12 of 30,12 of 26,14 of 25,11 of 16,0 of 0,13 of 22
Alexandre Pantoja,Kai Asakura,"December 14, 2024",1,Submission,TIME: 2:05,0,0,61%,58%,33 of 53,30 of 44,3 of 7,0 of 0,42%,---,1,0,0,0,2:46,0:24,15 of 33,10 of 20,5 of 5,5 of 6,12 of 14,2 of 3,30 of 50,17 of 28,2 of 2,0 of 1,0 of 0,0 of 0
Shavkat Rakhmonov,Ian Machado Garry,"December 14, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,55%,50%,65 of 102,102 of 157,2 of 10,1 of 2,20%,50%,0,2,1,0,11:41,2:32,29 of 55,11 of 40,6 of 10,10 of 15,2 of 2,21 of 29,24 of 50,35 of 72,3 of 4,7 of 12,10 of 13,0 of 0
Ciryl Gane,Alexander Volkov,"December 14, 2024",1,Decision - Split,TIME: 5:00,0,0,70%,54%,48 of 66,105 of 140,2 of 4,3 of 4,50%,75%,2,1,0,0,3:40,4:32,14 of 30,19 of 46,10 of 11,18 of 20,19 of 20,2 of 5,40 of 57,36 of 67,0 of 1,3 of 4,3 of 3,0 of 0
Bryce Mitchell,Kron Gracie,"December 14, 2024",1,KO/TKO,TIME: 0:39,0,0,72%,19%,147 of 177,90 of 118,2 of 2,0 of 0,100%,---,0,1,0,0,8:33,0:02,14 of 23,4 of 25,9 of 10,1 of 3,3 of 3,1 of 3,17 of 26,5 of 30,5 of 5,1 of 1,4 of 5,0 of 0
Nate Landwehr,Dooho Choi,"December 14, 2024",1,KO/TKO,TIME: 3:21,0,0,37%,67%,32 of 77,114 of 157,0 of 0,4 of 5,---,80%,0,0,0,0,0:42,7:13,13 of 47,61 of 98,9 of 15,9 of 9,3 of 5,8 of 9,15 of 55,62 of 99,10 of 12,4 of 4,0 of 0,12 of 13
Dominick Reyes,Anthony Smith,"December 14, 2024",1,KO/TKO,TIME: 4:46,0,0,74%,45%,172 of 232,24 of 49,0 of 0,0 of 4,---,0%,0,0,0,0,3:51,0:01,110 of 149,14 of 36,8 of 10,5 of 7,3 of 3,2 of 3,48 of 75,19 of 43,17 of 22,2 of 3,56 of 65,0 of 0
Vicente Luque,Themba Gorimbo,"December 14, 2024",1,Submission,TIME: 0:52,0,0,33%,55%,2 of 6,5 of 9,0 of 0,0 of 0,---,---,1,0,0,0,0:14,0:00,1 of 4,1 of 5,0 of 0,1 of 1,1 of 2,3 of 3,2 of 6,5 of 9,0 of 0,0 of 0,0 of 0,0 of 0
Movsar Evloev,Aljamain Sterling,"December 14, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,30%,46%,136 of 165,45 of 67,4 of 5,6 of 8,80%,75%,0,0,1,2,6:09,6:16,6 of 23,7 of 16,1 of 1,5 of 8,1 of 2,0 of 2,6 of 22,9 of 23,0 of 1,2 of 2,2 of 3,1 of 1
Randy Brown,Bryan Battle,"December 14, 2024",1,Decision - Split,TIME: 5:00,0,0,54%,51%,80 of 135,109 of 175,2 of 5,0 of 6,40%,0%,0,0,0,0,1:46,7:25,32 of 79,20 of 64,22 of 26,31 of 38,6 of 6,6 of 8,49 of 96,27 of 76,11 of 15,30 of 34,0 of 0,0 of 0
Chris Weidman,Eryk Anders,"December 14, 2024",1,KO/TKO,TIME: 4:51,1,0,44%,60%,27 of 50,121 of 193,0 of 1,0 of 6,0%,0%,1,0,0,0,2:15,4:24,11 of 30,56 of 96,5 of 6,6 of 6,0 of 0,0 of 0,12 of 23,7 of 25,0 of 2,7 of 12,4 of 11,48 of 65
Cody Durden,Joshua Van,"December 14, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,32%,54%,74 of 223,184 of 323,2 of 8,0 of 0,25%,---,0,0,0,0,3:14,0:20,60 of 203,131 of 262,6 of 8,22 of 27,4 of 6,12 of 15,70 of 217,144 of 279,0 of 0,19 of 22,0 of 0,2 of 3
Michael Chiesa,Max Griffin,"December 14, 2024",1,Submission,TIME: 1:56,0,0,33%,29%,54 of 87,18 of 43,2 of 8,0 of 1,25%,0%,1,0,0,0,3:48,1:19,11 of 33,9 of 33,2 of 6,1 of 1,0 of 0,0 of 0,9 of 29,10 of 30,4 of 10,0 of 4,0 of 0,0 of 0
Clay Guida,Chase Hooper,"December 14, 2024",1,Submission,TIME: 3:41,0,0,38%,46%,6 of 15,14 of 28,0 of 1,3 of 6,0%,50%,0,1,0,0,0:00,2:08,3 of 9,5 of 10,2 of 4,2 of 5,0 of 0,0 of 0,2 of 10,5 of 12,3 of 3,1 of 2,0 of 0,1 of 1
Kennedy Nzechukwu,Lukasz Brzeski,"December 14, 2024",1,KO/TKO,TIME: 4:51,1,0,41%,46%,29 of 70,32 of 69,0 of 0,0 of 2,---,0%,0,0,0,0,0:04,0:00,19 of 55,16 of 50,10 of 13,6 of 9,0 of 2,10 of 10,26 of 67,32 of 69,0 of 0,0 of 0,3 of 3,0 of 0
Petr Yan,Deiveson Figueiredo,"December 07, 2024",1,Decision - Unanimous,TIME: 5:00,0,0,62%,44%,190 of 263,53 of 119,1 of 4,2 of 8,25%,25%,0,0,1,0,3:21,3:00,78 of 142,23 of 75,18 of 21,24 of 36,25 of 30,6 of 8,103 of 172,49 of 112,13 of 15,4 of 7,5 of 6,0 of 0
