Peleador_A,Peleador_B,DATE,WINNER,METHOD,TIME,KD_A,KD_B,SIG_STR_A,SIG_STR_B,TOTAL_STR_A,TOTAL_STR_B,TD_A,TD_B,TD_PORC_A,TD_PORC_B,SUB_ATT_A,SUB_ATT_B,REV_A,REV_B,CTRL_A,CTRL_B,STR_HEAD_A,STR_HEAD_B,STR_BODY_A,STR_BODY_B,STR_LEG_A,STR_LEG_B,STR_DISTANCE_A,STR_DISTANCE_B,STR_CLINCH_A,STR_CLINCH_B,STR_GROUND_A,STR_GROUND_B
Andrei Arlovski,Don'Tale Mayes,"June 10, 2023",1,KO/TKO,TIME: 3:17,0,1,42%,28%,26 of 58,28 of 91,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:02,10 of 36,14 of 58,9 of 10,4 of 14,5 of 10,7 of 15,24 of 56,22 of 82,0 of 0,1 of 1,0 of 0,2 of 4
John Castaneda,Muin Gafurov,"June 10, 2023",1,Decision - Unanimous,TIME: 5:00,1,0,45%,38%,70 of 121,93 of 204,3 of 6,0 of 6,50%,0%,0,0,0,0,4:16,1:55,30 of 73,45 of 135,4 of 8,11 of 16,6 of 7,5 of 6,37 of 83,47 of 132,1 of 2,14 of 25,2 of 3,0 of 0
Jamie Mullarkey,Muhammad Naimov,"June 10, 2023",1,KO/TKO,TIME: 2:59,0,1,54%,40%,40 of 73,30 of 72,3 of 8,0 of 1,37%,0%,0,0,0,0,2:28,0:01,15 of 43,17 of 56,14 of 18,5 of 8,10 of 10,6 of 6,27 of 56,20 of 60,12 of 14,3 of 5,0 of 1,5 of 5
Elise Reed,Jinh Yu Frey,"June 10, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,44%,30%,94 of 174,42 of 114,0 of 1,3 of 7,0%,42%,0,0,0,0,1:29,4:09,16 of 65,15 of 68,21 of 36,4 of 13,16 of 19,9 of 10,45 of 111,26 of 84,8 of 9,2 of 4,0 of 0,0 of 3
Da'Mon Blackshear,Luan Lacerda,"June 10, 2023",1,KO/TKO,TIME: 3:54,0,0,48%,43%,85 of 158,31 of 67,1 of 2,1 of 4,50%,25%,0,1,1,1,2:14,0:26,42 of 103,16 of 42,11 of 17,9 of 19,13 of 15,3 of 3,38 of 96,25 of 61,8 of 13,3 of 3,20 of 26,0 of 0
Philipe Lins,Maxim Grishin,"June 10, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,42%,51%,50 of 113,103 of 145,1 of 3,0 of 3,33%,0%,0,0,0,0,8:24,0:36,22 of 74,20 of 53,17 of 21,6 of 11,6 of 11,15 of 16,36 of 92,29 of 65,9 of 14,12 of 15,0 of 0,0 of 0
Mackenzie Dern,Angela Hill,"June 03, 2023",1,Decision - Unanimous,TIME: 5:00,1,0,60%,61%,247 of 340,94 of 142,3 of 9,0 of 0,33%,---,0,0,0,0,13:12,7:11,104 of 186,27 of 65,18 of 20,39 of 42,4 of 4,0 of 1,58 of 132,35 of 74,19 of 22,30 of 31,49 of 56,1 of 3
Edmen Shahbazyan,Anthony Hernandez,"June 03, 2023",1,KO/TKO,TIME: 1:01,0,0,58%,71%,33 of 55,77 of 105,1 of 1,6 of 15,100%,40%,1,4,0,0,0:41,7:11,21 of 42,55 of 79,8 of 8,4 of 4,1 of 1,4 of 5,17 of 35,15 of 33,11 of 14,8 of 8,2 of 2,40 of 47
Emily Ducote,Loopy Godinez,"June 03, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,41%,53%,117 of 275,133 of 248,0 of 4,1 of 3,0%,33%,0,0,0,0,0:11,0:13,71 of 214,106 of 214,21 of 33,12 of 18,20 of 23,14 of 14,106 of 262,121 of 232,6 of 8,11 of 14,0 of 0,0 of 0
Andre Fialho,Joaquin Buckley,"June 03, 2023",1,KO/TKO,TIME: 4:15,0,1,43%,29%,22 of 51,27 of 90,0 of 0,2 of 3,---,66%,0,0,0,0,0:07,0:23,14 of 42,12 of 66,7 of 8,9 of 18,1 of 1,5 of 5,21 of 50,26 of 89,1 of 1,0 of 0,0 of 0,0 of 0
Diego Ferreira,Michael Johnson,"June 03, 2023",1,KO/TKO,TIME: 1:50,1,0,42%,55%,30 of 71,32 of 58,0 of 2,0 of 0,0%,---,0,0,0,0,0:01,0:00,17 of 46,13 of 34,10 of 21,17 of 20,3 of 4,2 of 4,29 of 70,32 of 58,0 of 0,0 of 0,1 of 1,0 of 0
Maheshate,Viacheslav Borshchev,"June 03, 2023",1,KO/TKO,TIME: 2:37,0,3,29%,57%,33 of 110,85 of 148,0 of 2,0 of 0,0%,---,0,0,0,0,0:00,0:09,26 of 100,40 of 99,1 of 3,17 of 19,5 of 6,28 of 30,29 of 99,69 of 118,3 of 10,11 of 18,0 of 0,5 of 12
Karolina Kowalkiewicz,Vanessa Demopoulos,"June 03, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,58%,30%,148 of 249,83 of 237,0 of 0,0 of 4,---,0%,0,0,0,0,1:52,0:00,94 of 187,49 of 190,30 of 33,13 of 23,15 of 17,6 of 8,134 of 230,65 of 216,5 of 7,3 of 5,0 of 0,0 of 0
Orion Cosce,Gilbert Urbina,"June 03, 2023",1,KO/TKO,TIME: 2:55,0,1,50%,62%,28 of 48,100 of 139,0 of 0,2 of 2,---,100%,0,1,0,0,0:05,3:06,9 of 23,31 of 56,3 of 5,12 of 16,4 of 4,8 of 10,14 of 29,27 of 55,1 of 2,4 of 4,1 of 1,20 of 23
Ilir Latifi,Rodrigo Nascimento,"June 03, 2023",1,Decision - Split,TIME: 5:00,0,0,63%,44%,76 of 105,76 of 160,2 of 7,0 of 0,28%,---,0,0,0,0,3:50,0:00,20 of 42,51 of 122,18 of 22,10 of 21,11 of 13,7 of 9,46 of 72,61 of 145,1 of 3,7 of 7,2 of 2,0 of 0
