,Peleador_A,Peleador_B,DATE,CATEGORY,WINNER,METHOD,TIME,ROUND,KD_A,KD_B,SIG_STR_A,SIG_STR_B,TD_PORC_A,TD_PORC_B,SUB_ATT_A,SUB_ATT_B,REV_A,REV_B,CTRL_A,CTRL_B,TOTAL_STR_A_x,TOTAL_STR_A_y,TOTAL_STR_B_x,TOTAL_STR_B_y,TD_A_x,TD_A_y,TD_B_x,TD_B_y,STR_HEAD_A_x,STR_HEAD_A_y,STR_HEAD_B_x,STR_HEAD_B_y,STR_BODY_A_x,STR_BODY_A_y,STR_BODY_B_x,STR_BODY_B_y,STR_LEG_A_x,STR_LEG_A_y,STR_LEG_B_x,STR_LEG_B_y,STR_DISTANCE_A_x,STR_DISTANCE_A_y,STR_DISTANCE_B_x,STR_DISTANCE_B_y,STR_CLINCH_A_x,STR_CLINCH_A_y,STR_CLINCH_B_x,STR_CLINCH_B_y,STR_GROUND_A_x,STR_GROUND_A_y,STR_GROUND_B_x,STR_GROUND_B_y,KD_DIFF,SIG_STR_DIFF,TD_DIFF,SUB_ATT_DIFF,REV_DIFF,CTRL_DIFF,STRIKER_A,STRIKER_B,GRAPPLER_A,GRAPPLER_B,TITLE_FIGHT,WOMEN,Loss_A,Win_A,Draw_A,Loss_B,Win_B,Draw_B,Peleas_A,Peleas_B,Puntos_A,Puntos_B,Racha_A,Racha_B,Victorias_KO_A,Victorias_KO_B,Victorias_Sub_A,Victorias_Sub_B,Victorias_Decision_A,Victorias_Decision_B,Derrotas_KO_A,Derrotas_KO_B,Derrotas_Sub_A,Derrotas_Sub_B,Derrotas_Decision_A,Derrotas_Decision_B
8,Jeremy Horn,Chuck Liddell,1999-03-05,MIDDLEWEIGHT,False,Submission,720,1,0,0,0.72,0.5,0.42,0.0,3,0,0,1,0,0,13,16,58,70,3,7,0,0,1,3,12,21,4,5,0,2,3,3,0,1,5,7,3,11,3,4,1,2,0,0,8,11,0,0.21999999999999997,0.375,3,-1,0,2.0,70.0,0.4117647058823529,0.0,False,False,82.0,14.0,5.0,6.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9,Evan Tanner,Valeri Ignatov,1999-03-05,MIDDLEWEIGHT,False,KO/TKO,178,1,0,0,0.71,0.25,1.0,0.0,1,0,0,0,0,0,25,35,7,14,1,1,0,0,18,26,2,8,4,5,0,0,1,1,0,0,3,8,1,7,2,2,1,1,18,22,0,0,0,0.45999999999999996,0.5,1,0,0,17.5,14.0,0.027777777777777776,0.0,False,False,24.0,2.0,0.0,,,,1,0,0.016980675564806237,0.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
10,Tito Ortiz,Guy Mezger,1999-03-05,MIDDLEWEIGHT,False,KO/TKO,596,1,0,0,0.61,0.5,0.4,0.0,0,3,0,0,0,0,92,111,9,11,2,5,0,0,22,36,1,3,4,6,0,0,0,0,1,1,0,2,1,3,2,6,1,1,24,34,0,0,0,0.10999999999999999,0.3333333333333333,-3,0,0,18.5,11.0,0.044642857142857144,0.0,False,False,7.0,2.0,1.0,,,,1,0,0.012735506673604678,0.0,1,0,2,0,0,0,0,0,0,1,0,0,0,0
13,Gary Goodridge,Andre Roberts,1999-03-05,HEAVYWEIGHT,False,KO/TKO,43,1,0,0,0.57,0.66,0.0,0.0,0,0,0,0,0,0,8,14,2,3,0,0,0,0,6,12,2,3,0,0,0,0,2,2,0,0,6,11,2,3,2,3,0,0,0,0,0,0,0,-0.09000000000000008,0.0,0,0,0,14.0,3.0,0.0,0.0,False,False,,,,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19,Pedro Rizzo,Tra Telligman,1999-05-07,HEAVYWEIGHT,False,KO/TKO,270,1,1,0,0.2,0.34,0.0,0.0,0,0,0,0,0,0,9,43,16,46,0,0,0,1,7,41,14,41,0,0,0,1,2,2,2,4,9,42,13,38,0,0,3,8,0,1,0,0,1,-0.14,0.0,0,0,0,43.0,23.0,0.0,0.02127659574468085,False,False,6.0,0.0,0.0,16.0,1.0,0.0,1,0,0.006013989262535543,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
20,Bas Rutten,Kevin Randleman,1999-05-07,HEAVYWEIGHT,False,Decision - Split,180,3,0,0,0.62,0.32,0.0,1.0,1,0,0,0,0,0,181,195,56,114,0,0,6,6,10,20,19,58,6,7,1,3,2,2,0,0,4,11,0,2,1,1,0,0,13,17,20,59,0,0.3,-0.8571428571428571,1,0,0,195.0,16.285714285714285,0.0,0.05217391304347826,True,False,27.0,4.0,1.0,7.0,2.0,0.0,1,1,0.01768820371333983,0.011121077439890749,1,1,1,0,0,0,1,1,0,0,0,0,0,1
18,Pete Williams,Travis Fulton,1999-05-07,HEAVYWEIGHT,False,Submission,388,1,0,0,0.55,0.27,0.0,0.0,2,0,0,0,0,0,22,34,18,34,0,0,0,1,7,18,4,20,0,1,0,0,8,8,2,2,8,16,2,13,1,1,0,1,6,10,4,8,0,0.28,0.0,2,0,0,34.0,17.0,0.0,0.02857142857142857,False,False,7.0,1.0,0.0,,,,1,0,0.0177937239038252,0.0,1,0,0,0,2,0,0,0,0,0,0,1,0,0
16,Marcelo Mello,David Roberts,1999-05-07,LIGHTWEIGHT,False,KO/TKO,83,1,0,0,0.53,0.0,0.5,0.0,0,0,0,0,0,0,9,15,0,3,1,2,0,0,6,12,0,3,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,6,12,0,1,0,0.53,0.3333333333333333,0,0,0,5.0,3.0,0.125,0.0,False,False,,,,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15,Laverne Clark,Fabiano Iha,1999-05-07,LIGHTWEIGHT,False,TKO - Doctor's Stoppage,81,1,1,0,1.0,0.0,0.0,0.0,0,2,0,0,0,0,6,6,0,3,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,3,3,3,0,3,1,1,0,0,2,2,0,0,1,1.0,0.0,-2,0,0,6.0,3.0,0.0,0.0,False,False,,,,9.0,,0.0,1,0,0.01768820371333983,0.0,1,0,2,0,0,0,0,0,0,1,0,0,0,0
14,Ron Waterman,Chris Condo,1999-05-07,HEAVYWEIGHT,False,KO/TKO,28,1,0,0,0.75,0.0,1.0,0.0,0,0,0,0,0,0,12,14,1,3,1,1,0,0,6,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8,0,0,0,0.75,0.5,0,0,0,7.0,3.0,0.06666666666666667,0.0,False,False,13.0,5.0,0.0,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
17,Wanderlei Silva,Tony Petarra,1999-05-07,MIDDLEWEIGHT,False,KO/TKO,173,1,1,0,0.78,0.8,0.0,0.0,0,0,0,0,0,0,32,39,6,7,0,0,0,2,12,18,3,3,13,14,0,1,0,0,1,1,0,2,0,0,24,29,4,5,1,1,0,0,1,-0.020000000000000018,0.0,0,0,0,39.0,2.3333333333333335,0.0,0.25,False,False,30.0,6.0,1.0,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
24,Travis Fulton,David Dodd,1999-07-16,HEAVYWEIGHT,False,Decision - Unanimous,300,2,1,0,0.78,0.16666666666666663,0.5,0.0,0,0,0,0,461,97,47,65,1,6,1,2,0,5,13,20,0,0,12,12,0,0,0,0,0,0,0,3,0,0,12,16,0,0,13,13,0,0,1,0.6133333333333334,0.3333333333333333,0,0,364,21.666666666666668,1.0,0.030303030303030304,0.7142857142857143,False,False,,,,,,,1,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
21,Pat Miletich,Andre Pederneiras,1999-07-16,WELTERWEIGHT,False,TKO - Doctor's Stoppage,94,2,0,0,0.3,0.52,0.0,0.0,0,0,0,0,96,4,25,54,17,26,0,0,0,1,6,32,3,10,5,7,1,2,2,3,6,7,6,31,4,8,7,11,5,9,0,0,1,2,0,-0.22000000000000003,0.0,0,0,92,54.0,13.0,0.0,0.037037037037037035,True,False,23.0,3.0,2.0,,,,1,0,0.03183876668401169,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
23,Jeremy Horn,Daiju Takase,1999-07-16,MIDDLEWEIGHT,False,KO/TKO,281,1,0,0,0.59,0.0,0.0,0.0,0,0,0,0,177,0,51,76,1,15,0,0,0,1,27,50,0,14,3,3,0,0,5,6,0,0,8,17,0,14,3,5,0,0,24,37,0,0,0,0.59,0.0,0,0,177,76.0,7.5,0.0,0.0625,False,False,83.0,14.0,5.0,12.0,12.0,2.0,1,0,0.0177937239038252,0.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
22,Maurice Smith,Marco Ruas,1999-07-16,HEAVYWEIGHT,False,KO/TKO,300,1,0,0,1.0,1.0,0.0,1.0,0,2,0,0,34,221,12,12,4,6,0,0,1,1,2,2,0,0,0,0,0,0,2,2,1,1,2,2,1,1,0,0,0,0,2,2,0,0,0,0.0,-0.5,-2,0,-187,12.0,3.0,0.0,0.14285714285714285,False,False,12.0,16.0,0.0,,,,1,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
25,Tsuyoshi Kohsaka,Tim Lajcik,1999-07-16,HEAVYWEIGHT,False,KO/TKO,300,2,0,0,0.78,0.38,0.0,0.0,3,0,1,0,75,420,73,77,43,71,0,3,0,0,7,7,10,29,2,2,2,2,2,5,0,0,4,7,0,6,0,0,1,2,7,7,11,23,0,0.4,0.0,3,1,-345,19.25,71.0,0.038461538461538464,0.0,False,False,,,,,,,1,0,0.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
27,Andre Roberts,Ron Waterman,1999-07-16,HEAVYWEIGHT,False,KO/TKO,171,1,1,0,0.5,0.45,0.0,0.0,0,0,0,0,28,28,11,21,27,53,0,0,0,0,10,19,19,42,0,1,3,6,0,0,0,0,4,9,8,15,3,8,14,33,3,3,0,0,1,0.04999999999999999,0.0,0,0,0,21.0,53.0,0.0,0.0,False,False,,,,14.0,5.0,0.0,1,1,0.0,0.0195358433722606,0,1,1,1,0,0,0,0,1,1,0,0,0,0
28,Paul Jones,Flavio Luiz Moura,1999-07-16,MIDDLEWEIGHT,False,Submission,260,1,0,1,0.6,0.5,0.0,0.0,2,0,1,0,237,14,60,74,15,18,0,0,0,0,20,34,1,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,21,33,0,1,-1,0.09999999999999998,0.0,2,1,223,74.0,18.0,0.0,0.0,False,False,,,,,,,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
26,Eugene Jackson,Royce Alger,1999-07-16,MIDDLEWEIGHT,False,KO/TKO,79,2,1,0,0.45,0.42,0.0,0.25,1,0,0,0,20,154,27,52,12,27,0,0,2,8,15,40,11,26,6,6,0,0,0,0,0,0,11,34,0,7,5,7,3,4,5,5,8,15,1,0.030000000000000027,-0.2222222222222222,1,0,-134,52.0,3.0,0.0,0.2857142857142857,False,False,,1.0,0.0,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34,Jeremy Horn,Jason Godsey,1999-09-24,HEAVYWEIGHT,False,Submission,128,1,0,0,0.75,0.14,0.0,1.0,1,0,0,0,2,79,7,9,8,16,0,0,1,1,2,3,0,3,0,0,0,3,1,1,1,1,2,3,1,7,1,1,0,0,0,0,0,0,0,0.61,-0.5,1,0,-77,9.0,8.0,0.0,0.058823529411764705,False,False,84.0,14.0,5.0,,,,2,1,0.1303714192918222,0.0,2,0,1,0,2,0,0,0,0,0,0,2,0,0
36,Frank Shamrock,Tito Ortiz,1999-09-24,LIGHTHEAVYWEIGHT,False,KO/TKO,282,4,0,0,0.5,0.27,0.0,0.88,1,0,1,0,13,951,193,227,67,125,0,0,8,9,10,34,18,70,8,11,1,3,13,16,1,1,21,46,3,21,5,10,0,11,5,5,17,42,0,0.22999999999999998,-0.8,1,1,-938,227.0,12.5,0.0,0.07142857142857142,True,False,22.0,10.0,2.0,8.0,2.0,1.0,0,2,0.0,0.11349577502934656,0,2,1,2,0,0,0,0,0,1,0,0,0,0
35,Tim Lajcik,Ron Waterman,1999-09-24,HEAVYWEIGHT,True,Decision - Unanimous,300,3,0,0,0.4,0.56,0.0,0.2,0,2,0,0,126,514,70,88,44,59,0,0,2,10,7,25,8,14,5,5,1,1,0,0,5,10,4,19,4,7,3,5,5,10,5,6,5,8,0,-0.16000000000000003,-0.18181818181818182,-2,0,-388,88.0,5.363636363636363,0.0,0.16666666666666666,False,False,,,,14.0,6.0,0.0,1,2,0.0,0.0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
33,Brad Kohler,Steve Judson,1999-09-24,HEAVYWEIGHT,False,KO/TKO,30,1,1,0,1.0,0.0,1.0,0.0,0,0,0,0,8,1,3,3,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,1.0,0.5,0,0,7,1.5,0.0,0.25,0.0,False,False,,,,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30,John Lewis,Lowell Anderson,1999-09-24,MIDDLEWEIGHT,False,KO/TKO,13,3,0,0,0.32,0.27,1.0,0.0,0,0,0,0,200,3,34,77,17,41,1,1,0,1,18,58,6,28,2,3,3,4,0,0,0,1,11,46,9,29,9,15,0,4,0,0,0,0,0,0.04999999999999999,0.5,0,0,197,38.5,20.5,0.01282051282051282,0.023809523809523808,False,False,2.0,3.0,3.0,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31,Matt Hughes,Valeri Ignatov,1999-09-24,LIGHTWEIGHT,False,Decision - Unanimous,300,3,0,0,0.65,0.28,0.55,0.0,0,1,0,0,0,0,124,164,45,64,5,9,0,0,48,88,5,23,29,29,2,2,0,0,0,0,13,27,5,22,2,5,2,2,62,85,0,1,0,0.37,0.5,-1,0,0,16.4,64.0,0.05454545454545454,0.0,False,False,28.0,2.0,0.0,,,,0,1,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
29,Jens Pulver,Alfonso Alcarez,1999-09-24,LIGHTWEIGHT,True,Decision - Majority,300,2,0,0,0.59,0.54,0.0,0.5,1,0,0,0,403,127,69,105,69,101,0,1,1,2,32,62,21,47,7,9,6,8,9,10,7,7,3,16,9,15,35,53,21,37,10,12,4,10,0,0.04999999999999993,-0.3333333333333333,1,0,276,52.5,33.666666666666664,0.009433962264150943,0.0196078431372549,False,False,16.0,10.0,1.0,,,,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32,Chuck Liddell,Paul Jones,1999-09-24,MIDDLEWEIGHT,False,TKO - Doctor's Stoppage,233,1,0,0,0.46,0.71,0.0,0.0,0,0,0,0,124,40,19,34,6,8,0,0,0,5,13,28,0,2,0,0,2,2,0,0,3,3,3,12,3,4,6,12,2,3,4,4,0,0,0,-0.24999999999999994,0.0,0,0,84,34.0,1.3333333333333333,0.0,0.5555555555555556,False,False,6.0,2.0,0.0,,,,1,1,0.0,0.01988197184145784,0,1,1,0,0,1,0,0,0,1,1,0,0,0
